project;merge commit;class;method;left modifications;left deletions;right modifications;right deletions
jsoup;fee4762322f85a1109edd75ccb67f38cf5008c80;org.jsoup.helper.HttpConnection;createConnection(Connection.Request);[];[];[609];[]
vavr;204635d9156b498079c2f34b821dca7ca1711ef6;javaslang.collection.HashSet;of(T);[90, 75];[];[90, 75, 95];[]
Singularity;ec69915f065bf3b7b86c9f13d0c3ee313ad7163d;com.hubspot.singularity.executor.task.SingularityExecutorTaskLogManager;teardown();[112];[];[112];[]
Singularity;1461ee8f33b7fd881dd49c64eb492c8fbc93a068;com.hubspot.singularity.mesos.SingularityMesosTaskBuilder;prepareCustomExecutor(TaskInfo.Builder, SingularityTaskId, SingularityTaskRequest, Protos.Offer, Optional<long[]>, Resources);[352];[];[352, 353];[]
Singularity;361c112169da68e124eb52ff2f74ede21151121d;com.hubspot.singularity.data.history.SingularityHistoryPurger;runActionOnPoll();[70];[];[69, 72, 58, 59, 61, 62];[[55, 56], [63, 60]]
quickml;bae968d9a85c0501ba8842a6f88e7fc2c6b78693;quickdt.experiments.OutOfTimeCrossValidatorRunner;getRandomForestBuilder(int, int);[];[];[42, 43];[[51, 43]]
quickml;9a0ac201b35618c31c561bc57a62c4f77fa9ca01;quickdt.predictiveModels.decisionTree.tree.ClassificationCounter;countAllByAttributeValues(Iterable<?extendsAbstractInstance>, String, String, Serializable);[52, 53, 54];[];[35, 39, 41];[]
quickml;8cf1936883c8dab2e45d732947d4f983744f52b7;quickdt.predictiveModels.temporallyWeightPredictiveModel.TemporallyReweightedPMBuilderBuilder;createDefaultParametersToOptimize();[];[];[27, 28];[]
quickml;5a49e9d633e1f91a17b4c893f937ad66e452a4c7;quickml.supervised.classifier.downsamplingPredictiveModel.RandomDroppingInstanceFilter;apply(Instance);[25];[];[25];[]
quickml;1bb20ae483ff392bd68c4b9592b7a96440d8f805;quickdt.Benchmarks;loadMoboDataset();[107];[];[107];[]
resty-gwt;867b917c43c32acbdcac55767e7f04334006c866;org.fusesource.restygwt.rebind.DirectRestServiceInterfaceClassCreator;getMethodCallback(JMethod);[83, 84, 85];[];[83, 84, 85, 90, 91, 92];[]
LittleProxy;623e614dd71401617311009785ed644907432e4d;org.littleshoot.proxy.HttpFilterTest;testFiltering();[101, 344, 345, 346, 347, 348, 236, 349, 350];[];[271, 272, 273, 145, 274, 275, 276, 277, 150, 278, 279, 280, 173, 305, 178, 306, 307, 308, 309, 310, 311, 312, 313, 314, 197, 328, 329, 330, 331, 203, 332, 333, 78, 334, 335, 336, 80, 337, 82, 84, 212, 86, 88, 90, 218, 92, 94, 223, 96, 98, 229, 234, 251];[[220, 251], [219, 251], [238, 251], [237, 251], [236, 251], [235, 251], [234, 251], [233, 251], [232, 251], [231, 251], [230, 251], [229, 251], [228, 251], [227, 251], [226, 251], [225, 251], [224, 251], [223, 251], [222, 251], [221, 251]]
java-faker;ca42fcfaf45cae1754c58e02e1d5d2a58ec03561;com.github.javafaker.Faker;Faker(Locale, Random);[59];[];[];[]
elasticsearch-analysis-ik;ca2bfe57320fbf2bbef20c9ca69b9d78f4912710;org.wltea.analyzer.help.Sleep;sleep(Type, int);[27, 31];[];[27, 31];[]
twilio-java;3618ebc2df694dc9f5678e0d8af69bb0329d3341;com.twilio.rest.http.NetworkHttpClient;NetworkHttpClient();[];[];[40, 41, 42];[]
glacieruploader;cfeacbf6ce259d925301898491500214446bfa79;de.kopis.glacier.VaultInventoryLister;retrieveInventoryListing(URL, String, String);[75];[];[64, 72, 73, 74, 75, 76];[[67, 69]]
