project;merge commit;class;method;left modifications;left deletions;right modifications;right deletions
jsoup;fee4762322f85a1109edd75ccb67f38cf5008c80;org.jsoup.helper.HttpConnection;createConnection(Connection.Request);[];[];[609];[]
jOOQ;13c631a7d14f8ba5e91130ddaf3254995e35d495;org.jooq.impl.MetaDataFieldProvider;init(Configuration, ResultSetMetaData);[112, 116, 117, 118, 119, 120, 121, 122];[];[112, 116, 121, 122];[]
jOOQ;d96120f327107feb1ebb15e7c090dc38eeff72ca;org.jooq.impl.DSL;countDistinct(Field<?>);[10551, 10573];[];[10551, 10573];[]
vavr;204635d9156b498079c2f34b821dca7ca1711ef6;javaslang.collection.LinkedHashSet;of(T);[87, 72];[];[87, 72, 92];[]
vavr;204635d9156b498079c2f34b821dca7ca1711ef6;javaslang.collection.Iterator;of(T);[128, 144, 149, 119, 153, 123, 158, 143];[[143, 117], [128, 158]];[128, 144, 161, 149, 119, 153, 123, 158, 143];[[143, 117], [128, 158]]
vavr;204635d9156b498079c2f34b821dca7ca1711ef6;javaslang.collection.CharSeq;of(char);[99, 100, 88];[[101, 88], [100, 88], [99, 88]];[99, 100, 88, 106];[[101, 88], [100, 88], [99, 88]]
vavr;204635d9156b498079c2f34b821dca7ca1711ef6;javaslang.collection.HashSet;of(T);[90, 75];[];[90, 75, 95];[]
Singularity;ec69915f065bf3b7b86c9f13d0c3ee313ad7163d;com.hubspot.singularity.executor.task.SingularityExecutorArtifactVerifier;checkArtifactSignature(S3ArtifactSignature);[69, 75];[];[69, 75];[]
Singularity;ec69915f065bf3b7b86c9f13d0c3ee313ad7163d;com.hubspot.singularity.executor.task.SingularityExecutorArtifactVerifier;checkSignatures();[32];[];[32];[]
Singularity;ec69915f065bf3b7b86c9f13d0c3ee313ad7163d;com.hubspot.singularity.executor.task.SingularityExecutorTaskDefinition;toString();[148, 152];[];[148, 152];[]
Singularity;ec69915f065bf3b7b86c9f13d0c3ee313ad7163d;com.hubspot.singularity.s3.base.config.SingularityS3Credentials;toAWSCredentials();[62];[];[62];[]
Singularity;ec69915f065bf3b7b86c9f13d0c3ee313ad7163d;com.hubspot.singularity.executor.cleanup.SingularityExecutorCleanup;clean();[145, 150, 156, 143];[[168, 172]];[145, 150, 156, 143];[[168, 172]]
Singularity;ec69915f065bf3b7b86c9f13d0c3ee313ad7163d;com.hubspot.singularity.resources.S3LogResource;getS3PrefixesForDeploy(S3Configuration, String, String, Optional<Long>, Optional<Long>);[231, 232, 233, 234, 235, 236];[];[231, 232, 233, 234, 235, 236];[]
Singularity;ec69915f065bf3b7b86c9f13d0c3ee313ad7163d;com.hubspot.singularity.resources.S3LogResource;checkS3();[535];[];[535];[]
Singularity;ec69915f065bf3b7b86c9f13d0c3ee313ad7163d;com.hubspot.singularity.resources.S3LogResource;getMetadataAsLong(Map<String,Object>, String);[];[[268, 464], [267, 464], [266, 464], [264, 463]];[];[[268, 464], [267, 464], [266, 464], [264, 463]]
Singularity;ec69915f065bf3b7b86c9f13d0c3ee313ad7163d;com.hubspot.singularity.resources.S3LogResource;getS3Logs(S3Configuration, Optional<String>, Collection<String>, boolean);[482, 486, 473, 489, 475];[];[482, 486, 473, 489, 475];[]
Singularity;ec69915f065bf3b7b86c9f13d0c3ee313ad7163d;com.hubspot.singularity.resources.S3LogResource;getS3PrefixesForRequest(S3Configuration, String, Optional<Long>, Optional<Long>);[195, 196, 197, 198, 199, 200];[];[195, 196, 197, 198, 199, 200];[]
Singularity;ec69915f065bf3b7b86c9f13d0c3ee313ad7163d;com.hubspot.singularity.resources.S3LogResource;getS3PrefixesForTask(S3Configuration, SingularityTaskId, Optional<Long>, Optional<Long>);[160, 161, 162, 157, 158, 159];[];[160, 161, 162, 157, 158, 159];[]
Singularity;ec69915f065bf3b7b86c9f13d0c3ee313ad7163d;com.hubspot.singularity.SingularityS3Log;toString();[37];[[75, 36], [74, 36], [73, 36]];[37];[[75, 36], [74, 36], [73, 36]]
Singularity;ec69915f065bf3b7b86c9f13d0c3ee313ad7163d;com.hubspot.singularity.executor.cleanup.config.SingularityExecutorCleanupConfiguration;toString();[210, 219, 221];[];[210, 219, 221];[]
Singularity;ec69915f065bf3b7b86c9f13d0c3ee313ad7163d;com.hubspot.singularity.s3.base.config.SingularityS3Configuration;toString();[161, 150, 152, 153];[];[161, 150, 152, 153];[]
