project;merge commit;textual conflict
Activiti;50d8e43eb5917c63abfbcdec1e68e510943f325a;false
Activiti;bf46684ba62f5883673ea8fb0a14aecfe0aedea2;false
jsoup;a8b6982de98ff76ef254031d7152fff57f6bf941;false
jsoup;3f7d2c71dbbbb289c684f339874eed8ac2747fa0;false
jsoup;a44e18aa3c1fcd25a68a5965f9490d8f7d026509;false
jsoup;ea3225714c9e6e02ab17c4a79a88b71d1ea6eae3;false
jsoup;7ba0ee75547878ddccc5ab50777b67c712aa73e4;false
jsoup;e38b916ba1ebd3f5c00a6b6b8e77a4cdfea2800f;false
jsoup;a8b6982de98ff76ef254031d7152fff57f6bf941;false
jsoup;fee4762322f85a1109edd75ccb67f38cf5008c80;false
jsoup;3f7d2c71dbbbb289c684f339874eed8ac2747fa0;false
jsoup;821b021a1e5fc75719c71ae5ea84157d770c1a9d;false
jsoup;a44e18aa3c1fcd25a68a5965f9490d8f7d026509;false
jsoup;ea3225714c9e6e02ab17c4a79a88b71d1ea6eae3;false
jsoup;7ba0ee75547878ddccc5ab50777b67c712aa73e4;false
jsoup;e38b916ba1ebd3f5c00a6b6b8e77a4cdfea2800f;false
jsoup;a8b6982de98ff76ef254031d7152fff57f6bf941;false
jsoup;fee4762322f85a1109edd75ccb67f38cf5008c80;false
jsoup;3f7d2c71dbbbb289c684f339874eed8ac2747fa0;false
jsoup;821b021a1e5fc75719c71ae5ea84157d770c1a9d;false
jsoup;a44e18aa3c1fcd25a68a5965f9490d8f7d026509;false
jsoup;ea3225714c9e6e02ab17c4a79a88b71d1ea6eae3;false
jsoup;7ba0ee75547878ddccc5ab50777b67c712aa73e4;false
jsoup;e38b916ba1ebd3f5c00a6b6b8e77a4cdfea2800f;false
jsoup;a8b6982de98ff76ef254031d7152fff57f6bf941;false
jsoup;fee4762322f85a1109edd75ccb67f38cf5008c80;false
jsoup;3f7d2c71dbbbb289c684f339874eed8ac2747fa0;false
jsoup;821b021a1e5fc75719c71ae5ea84157d770c1a9d;false
jsoup;a44e18aa3c1fcd25a68a5965f9490d8f7d026509;false
jsoup;ea3225714c9e6e02ab17c4a79a88b71d1ea6eae3;false
jsoup;7ba0ee75547878ddccc5ab50777b67c712aa73e4;false
jsoup;e38b916ba1ebd3f5c00a6b6b8e77a4cdfea2800f;false
jsoup;a8b6982de98ff76ef254031d7152fff57f6bf941;false
jsoup;fee4762322f85a1109edd75ccb67f38cf5008c80;false
jsoup;3f7d2c71dbbbb289c684f339874eed8ac2747fa0;false
jsoup;821b021a1e5fc75719c71ae5ea84157d770c1a9d;false
jsoup;a44e18aa3c1fcd25a68a5965f9490d8f7d026509;false
cucumber-jvm;4505c156b6267c1b760deec570ddbfe047b42aa9;true
dropwizard;ddd15a681bf42360337844412cae4aba1556eb88;false
Activiti;50d8e43eb5917c63abfbcdec1e68e510943f325a;false
Activiti;bf46684ba62f5883673ea8fb0a14aecfe0aedea2;false
fitnesse;4d9ba9d221d879507440feb084fa7521b95111ec;false
HikariCP;1bca94af9ec625f21d1b58ff10efb5be71ab87a6;true
hector;0588608e7a2bdf974c985ff546207104f672bf6c;false
hector;a33a46506656a39d1b0f7780973905665d3b6145;false
hector;213f7887ea70eabdf0705cf8454de29af89e8c38;false
druid;05168808c278c080c59c19e858d9471b316cd1f5;false
druid;bab9ee882700a67bf7d1a30cc86a49816830263a;true
jsoup;a8b6982de98ff76ef254031d7152fff57f6bf941;false
jsoup;3f7d2c71dbbbb289c684f339874eed8ac2747fa0;false
jsoup;a44e18aa3c1fcd25a68a5965f9490d8f7d026509;false
logback;542843fd04a793fb9e0eea0c84d199e66d7c15af;false
jenkins;48b2b951dfb3438999ceda330093cac82b857ce6;false
