project,merge commit,is octopus,number of merge conflicts,merge conflict ocurrence,number of conflicting files, number of developers' mean,number of commits' mean,number of changed files' mean, number of changed lines' mean,duration mean,conclusion delay
jsoup,fee4762322f85a1109edd75ccb67f38cf5008c80,false,2,true,1,38.0,715.9748598938373,10.392304845413264,251.76179217665256,3.7416573867739413,13
jOOQ,13c631a7d14f8ba5e91130ddaf3254995e35d495,false,1,true,1,39.496835316262995,4578.4999726984815,1.4142135623730951,12.489995996796797,3.0,0
jOOQ,d96120f327107feb1ebb15e7c090dc38eeff72ca,false,2,true,1,29.49576240750525,3946.499968326365,1.0,14.832396974191326,1.0,0
vavr,204635d9156b498079c2f34b821dca7ca1711ef6,false,3,true,1,30.0,2544.996856579591,31.464265445104548,773.0963717415831,4.0,0
Singularity,ec69915f065bf3b7b86c9f13d0c3ee313ad7163d,false,2,true,2,59.49789912257407,8040.494387784871,45.4972526643093,1800.6198932589855,8.0,0
Singularity,1461ee8f33b7fd881dd49c64eb492c8fbc93a068,false,1,true,1,57.99137866959192,8011.499984397428,21.908902300206645,532.7626113007556,5.477225575051661,1
Singularity,361c112169da68e124eb52ff2f74ede21151121d,false,1,true,1,55.0,7618.988909297611,9.273618495495704,66.2268827591938,2.449489742783178,5
quickml,5a49e9d633e1f91a17b4c893f937ad66e452a4c7,false,1,true,1,10.0,650.4951959853355,15.968719422671311,85.17041739947034,1.0,0
quickml,1bb20ae483ff392bd68c4b9592b7a96440d8f805,false,1,true,1,8.0,531.4715420415283,2.23606797749979,24.49489742783178,1.0,0
quickml,9a0ac201b35618c31c561bc57a62c4f77fa9ca01,false,1,true,1,8.0,524.4997616777342,8.717797887081348,186.61457606521523,0.0,0
quickml,8cf1936883c8dab2e45d732947d4f983744f52b7,false,1,true,1,8.0,483.9907023900356,3.1622776601683795,31.811947441173732,0.0,0
quickml,bae968d9a85c0501ba8842a6f88e7fc2c6b78693,false,1,true,1,7.483314773547883,361.33087330035886,6.928203230275509,48.662100242385755,0.0,8
resty-gwt,867b917c43c32acbdcac55767e7f04334006c866,false,0,false,0,71.88880302244571,759.6683486890842,29.732137494637012,813.6215336383373,18.547236990991408,343
elasticsearch-sql,eb6bc06b45477676c6064350c0076e1c0d8df4a1,false,1,true,1,16.492422502470642,384.95714047150756,8.717797887081348,48.29078587059855,0.0,1
elasticsearch-sql,e56a98377a5a68e4e5c63174142c8ba7c01757d9,false,1,true,1,16.492422502470642,383.4957626884553,8.717797887081348,123.11782974045636,6.0,0
oltpbench,d44ca95a832aeff9fc344c0fc1d416dcdd52bfd2,false,1,true,1,19.8997487421324,735.4794354704964,69.49820141557622,924.857286287998,0.0,9
oltpbench,fc81095071ce840208ca5185788607afd6e6b1c5,false,0,false,0,22.0,739.0,84.0,2833.0,0.0,0
oltpbench,90addbe818f625d48d029d2bb251073a167648f0,false,1,true,1,15.874507866387544,703.7499555950252,29.32575659723036,150.57224179774968,355.7625612680457,25
oltpbench,865443d294ae76d8ea2002cbd27d11aa37291ea9,false,1,true,1,15.874507866387544,703.7499555950252,29.32575659723036,150.57224179774968,355.7625612680457,25
mvvmFX,8119fd2454fa0804a985421f8b9f4a97f5ccc4ab,false,3,true,3,5.0,334.0,12.0,26.0,3.0,0
cloud-slang,7169bb29f3e601bb1fbdc7d82f9ee7bfae44aaef,false,3,true,3,38.0,2618.9992363496403,67.64613810115105,1140.3271460418716,8.0,0
cloud-slang,4e369761f727a25bcc1381a5ffa529b92d3f0831,false,1,true,1,27.0,1872.0,4.898979485566356,53.075418038862395,1.0,0
cloud-slang,c716a9231fbf48779f927ac77906f81a90a34352,false,1,true,1,18.0,1070.4662535549637,33.406586176980134,437.01258563112344,2.0,0
jackson-databind,57f8cda4ce1d4dbe2d5256a7bf0aa83dfa410acc,false,1,true,1,124.45079348883236,3623.3340999692537,20.199009876724155,495.12725636951154,6.0,0
jackson-databind,cc478a2b587b91cf7563847540472e57a2c9a7b2,false,0,false,0,110.63453348751464,3216.535092300409,40.06245124802026,1220.1889197988974,0.0,0
jackson-databind,07569c70cd950823a1af67e545507f34828c8b99,false,20,true,2,107.35921013122255,3091.170975536617,27.055498516937366,2436.8366789754295,10.0,0
Handy-URI-Templates,6553ba922d3cac5e736cf4fe7345af691334626b,false,0,false,0,13.0,381.9882197136451,4.69041575982343,472.53571293607007,1.0,0
editorconfig-netbeans,53d7a09368b0bfb39534f31bf67dbc9986da85d5,false,0,false,0,2.0,129.9961537892564,1.7320508075688772,130.3533658944026,0.0,1
LittleProxy,623e614dd71401617311009785ed644907432e4d,false,3,true,1,32.46536616149585,751.9833774758588,5.291502622129181,89.20762299265685,6.708203932499369,12
java-faker,ca42fcfaf45cae1754c58e02e1d5d2a58ec03561,false,1,true,1,25.0,220.48582720891608,6.708203932499369,101.23240587875011,2.449489742783178,1
elasticsearch-analysis-ik,ca2bfe57320fbf2bbef20c9ca69b9d78f4912710,false,8,true,4,18.439088914585774,147.12579651441143,8.12403840463596,99.87992791347018,7.3484692283495345,21
swagger-core,e7fea7c4889dbdd6a4e0b2d059c8aa0f126ab1c2,false,2,true,1,198.49937027607922,2818.974458912319,12.806248474865697,271.68916062294426,1.0,0
protostuff,9a760015da4b5cdf196f954179517e18f2c40988,false,1,true,1,16.0,1194.4998953537,30.397368307141328,510.5232609783809,11.0,0
twilio-java,3618ebc2df694dc9f5678e0d8af69bb0329d3341,false,1,true,1,59.49789912257407,1120.4989959834859,2.0,8.717797887081348,3.0,0
closure-compiler,96e918311f265bdd989e10c331fe014c812f4f6b,false,0,false,0,236.30911958703584,4079.3705396788855,16.1245154965971,445.53787717768734,7.3484692283495345,3
accumulo,10dfc20f56c0cb74eaedd9a5c77ab7a57ab7acfd,false,0,false,0,91.48770409186143,8755.405987160162,56.10704055642215,3123.9220540852166,4.47213595499958,19
accumulo,d7c50d1fd16334c6c42d90c3241c1751b2d9529e,false,1,true,0,78.9430174239622,7971.139441761134,36.75595189897821,880.5952532236362,1.4142135623730951,1
pushy,58901c846e4f0874977c5aabbc34bcb4de3670e0,false,0,false,0,8.0,320.4122344730301,2.449489742783178,0.0,0.0,0
jumblr,f6efe42bf1b29e52b72832b8c1754fc93cd3ec4b,false,2,true,1,5.0990195135927845,106.39078907499464,12.24744871391589,308.1298427611321,6.48074069840786,1
glacieruploader,cfeacbf6ce259d925301898491500214446bfa79,false,1,true,1,3.0,34.87119154832539,3.872983346207417,28.982753492378876,0.0,26
swagger-maven-plugin,e825a7fdc6ef688f1253b93d2cb236e710acfc56,false,2,true,1,30.495901363953813,414.4996984317359,1.0,2.449489742783178,5.0,0
atmosphere,48a0c5212a94377f0cf1053df1450b74dd77f28e,false,2,true,1,125.0,5579.0,1.0,4.0,6.48074069840786,1
