project,merge commit,is octopus,number of merge conflicts,merge conflict ocurrence,number of conflicting files, number of developers' mean,number of commits' mean,number of changed files' mean, number of changed lines' mean,duration mean,conclusion delay
jsoup,ea3225714c9e6e02ab17c4a79a88b71d1ea6eae3,false,2,true,1,68.0,1042.0,2.0,30.59411708155671,1.0,0
jsoup,7ba0ee75547878ddccc5ab50777b67c712aa73e4,false,0,false,0,65.99242380758567,999.4718605343525,12.84523257866513,247.39846402110098,9.16515138991168,19
jackson-core,aaab6e0eb293344dd2b39e126f73487943667f1c,false,0,false,0,62.80127387243033,1606.6057388170877,37.469987990390386,1339.5458185519449,4.0,0
jackson-core,31030d8a513b6ec03ae353214ff74f75ddc07406,false,0,false,0,58.0,1444.667435778906,14.594519519326424,304.1414144768844,7.0,0
jackson-core,fd19304c1e3a6049b9a9f06c6409e471d7e50fa3,false,0,false,0,64.48255578061404,1685.9572948328198,6.0,37.04051835490427,8.774964387392123,18
jackson-core,9042988ef5b9be0d9a524bed81f02b6e4838afbe,false,1,true,2,60.92618484691127,1574.230923340029,25.98076211353316,1343.134393871291,10.816653826391969,4
jackson-core,34fbf2df923ea375c8ff0b8491edda62e8bb6ac1,false,0,false,0,59.9666574022598,1565.0150159024033,25.80697580112788,770.157126825429,0.0,7
jackson-core,0e17b51398e0fe4869df58df75e5d14c1ea04088,false,3,true,1,59.9666574022598,1563.0770934282161,29.79932885150268,761.0387637959054,0.0,0
jackson-core,7290620ac522d5420152bd89f2308d445fc78a3d,false,23,true,6,59.9666574022598,1558.6003336327117,42.04759208325728,1418.1502036103227,0.0,1
jackson-core,fedaa991456f7dd631a806829084beab88e2a91f,false,5,true,1,59.9666574022598,1556.661812983154,29.597297173897484,1686.8378700989613,0.0,1
jackson-core,817961ec880c10f4297764343209d6370b1e5090,false,6,true,1,59.9666574022598,1550.7791590036281,25.632011235952593,1248.670492964417,1.0,0
jackson-core,768e458dcffaa6a56ec9560920cce77df2eba8c0,false,1,true,1,58.0,1430.3384214933192,13.076696830622021,560.521186040278,359.4996522946858,1
jackson-core,c8308ad216af7419ada95a7a6061a792a0db308e,false,1,true,0,59.9666574022598,1538.006827032962,59.19459434779497,1047.1676083607629,7.14142842854285,20
jackson-core,3f59e7bfd6b2926c71abcb93ccb115dd125f78e0,false,5,true,0,59.9666574022598,1532.0574401764445,36.24913792078372,682.3459533110752,0.0,4
jackson-core,d1648eb31118bc99cd18b3dc22526e016d62aa3c,false,0,false,0,59.9666574022598,1526.6394466277884,41.8568990729127,1394.4705088312194,4.358898943540674,18
jackson-core,90c0abf4cfdd8c8ae1ed31b771ec9b39ba77c08e,false,13,true,6,59.481089431852205,1523.2242119924433,44.090815370097204,1693.6481334681062,0.0,0
jackson-core,99fa5fdace88a7416ebb40424297bbc97ff0c582,false,1,true,0,59.481089431852205,1510.0245031124496,35.832945734337834,640.9742584534889,1.0,0
jackson-core,e97e1bfc0ad31ff24adf35a5a06a77f97a9e483c,false,4,true,3,59.481089431852205,1507.0766403869445,35.832945734337834,650.4052582813273,0.0,4
jackson-core,a913e870a64aef7031ddee4824482ef2608f2dbd,false,1,true,0,58.9915248150105,1500.869414706023,43.78355855797927,1811.7483268931146,11.661903789690601,9
jackson-core,f7fdcdcbd7bdacaef9cbe14f7f42c1f561a0db2f,false,13,true,0,58.9915248150105,1487.9569886256793,45.93473631142341,1107.3576657972799,0.0,0
jackson-core,7615c0a5eb65df68c1b4d3af734e17d46bc32651,false,14,true,0,58.9915248150105,1486.4810795970461,45.93473631142341,1249.4862944426402,0.0,0
jackson-core,ccce009cd6e561b731aef097a07a64e2c8d57719,false,6,true,0,58.9915248150105,1485.0050504964622,50.3189825016365,1249.1276956340373,0.0,1
jackson-core,00a80f5b1048a49008ab51b23328d1b6bd0892a9,false,18,true,0,58.9915248150105,1482.1035726291195,54.35071296680477,1498.1234929070433,0.0,0
jackson-core,50905423394bbcf2d6df9d86a1472b81db3b6d62,false,1,true,0,58.9915248150105,1475.720163174577,48.062459362791664,1740.8868429625172,0.0,8
jackson-core,bf8109c007491bd703d68ed852a7c74c7f11f1d2,false,3,true,2,58.0,1397.4956171666515,13.416407864998739,591.6569952261192,4.898979485566356,11
jackson-core,be11296d83cff8b4722152df475595e53cd10a97,false,8,true,5,58.9915248150105,1472.1412975662356,38.34057902536163,1386.4267019932934,0.0,0
jackson-core,feddb66f98874a1022c74a7b0bc5b550dc7236e1,false,3,true,3,58.9915248150105,1470.1887633906063,28.982753492378876,1717.1738409374864,0.0,11
jackson-core,e7551ed0153df46ee7324567fd4dc8ce8afe7aff,false,13,true,5,58.9915248150105,1466.7092418062962,35.4964786985977,1240.1362828334634,0.0,0
jackson-core,15c6829b4db47e04fea85dad5a165ee2bdddcd67,false,15,true,3,58.9915248150105,1463.803265469783,38.24918299781056,3174.949133450802,0.0,2
jackson-core,d708338d421df111ab3d4a36bb90b14900594ec0,false,6,true,2,58.9915248150105,1458.8454338962713,25.03996805109783,438.70719164381154,0.0,11
jackson-core,b4c3c7975be50f18aa9b651d70431dae13d8edb3,false,2,true,2,57.99137866959192,1448.4512418441982,24.979991993593593,1006.1560515148731,5.744562646538029,15
jackson-core,807e716a9e3e21ca8f2bd931a7cdba3975cd0ac7,false,3,true,3,55.49774770204643,1369.8233462749859,21.0,353.94914889006304,7.0,0
jackson-core,512c4b537561f77a4ef8cf2b775ece6ef28b1b87,false,2,true,1,55.0,1334.4954102581246,16.24807680927192,253.72623041380643,6.48074069840786,0
